trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,Resource_to_role_acc,impact_acc,oranization country_acc,org:group_acc,org:resource:role_acc,org:resource_acc,org:role_acc,product_acc,resource country_acc,time:timestamp_mae,hid,lr,batch_size,heads,layers,aggregation
93,93_0,COMPLETED,BoTorch,4.146022537373938,0.519458532333374,0.5126150846481323,1.0,1.0,1.0,0.9678511023521423,1.0,0.529610812664032,0.9255499243736267,0.9746192693710327,0.9323180913925171,0.26473420560359956,128,0.0251775886069817,64,1,2,max
34,34_0,COMPLETED,BoTorch,4.188519129878841,0.4940778315067291,0.49251890182495117,1.0,1.0,1.0,0.9729272127151489,1.0,0.6429780125617981,0.9187816977500916,0.9373942017555237,0.9441624283790588,0.3224152147769928,128,0.020983560201087176,64,1,2,max
29,29_0,COMPLETED,BoTorch,4.240708589588758,0.5228426456451416,0.5008264780044556,1.0,1.0,1.0,0.9763113260269165,1.0,0.5803722143173218,0.9238578677177429,0.8866328001022339,0.9492385387420654,0.12489427477121354,128,0.015758872268103033,64,1,2,max
66,66_0,COMPLETED,BoTorch,4.333807168505155,0.47038915753364563,0.43640002608299255,1.0,1.0,0.9983079433441162,0.9661590456962585,1.0,0.6294416189193726,0.9018612504005432,0.8950930237770081,0.9323180913925171,0.1966951608657837,128,0.029488819051921595,64,1,2,max
60,60_0,COMPLETED,BoTorch,4.357068103807978,0.5160744190216064,0.4804935157299042,1.0,1.0,1.0,0.9729272127151489,1.0,0.5922165513038635,0.9272419214248657,0.9289339780807495,0.9458544850349426,0.21994464993476867,128,0.014606832212081963,64,1,2,max
19,19_0,COMPLETED,BoTorch,4.390180443669669,0.5719119906425476,0.5429856181144714,1.0,1.0,1.0,0.9695430994033813,1.0,0.5871404409408569,0.9323180913925171,0.9340101480484009,0.9458544850349426,0.16349551677703858,128,0.013014042950314239,64,1,2,max
48,48_0,COMPLETED,BoTorch,4.417307876473933,0.5211505889892578,0.5073537230491638,1.0,1.0,1.0,0.9729272127151489,1.0,0.6142131686210632,0.9221658110618591,0.905245304107666,0.9441624283790588,0.3122057795524597,128,0.01414884095138229,64,1,2,max
32,32_0,COMPLETED,BoTorch,4.428010902751703,0.4991539716720581,0.45499640703201294,1.0,1.0,1.0,0.9678511023521423,1.0,0.5854483842849731,0.913705587387085,0.9306260347366333,0.9289339780807495,0.21623339951038362,128,0.01809694059461266,64,1,2,max
39,39_0,COMPLETED,BoTorch,4.443834876694018,0.5752961039543152,0.5494354963302612,1.0,1.0,1.0,0.9661590456962585,1.0,0.5871404409408569,0.9170896410942078,0.9204737544059753,0.9441624283790588,0.1182445913553238,128,0.014655481497502024,64,1,2,max
83,83_0,COMPLETED,BoTorch,4.477632375713438,0.4551607370376587,0.44873762130737305,1.0,1.0,1.0,0.962774932384491,1.0,0.5837563276290894,0.9255499243736267,0.9644669890403748,0.9357022047042847,0.3336100339889526,128,0.029034212666197698,64,1,2,max
72,72_0,COMPLETED,BoTorch,4.48883140530088,0.3637901842594147,0.35914769768714905,1.0,1.0,1.0,0.9729272127151489,1.0,0.5617597103118896,0.915397584438324,0.9610828757286072,0.9306260347366333,0.2998225212097168,128,0.02732989763397566,64,1,2,max
86,86_0,COMPLETED,BoTorch,4.491474585025571,0.39255499839782715,0.37560412287712097,1.0,1.0,1.0,0.9695430994033813,1.0,0.6294416189193726,0.8984771370887756,0.9357022047042847,0.9475464820861816,0.25523671209812165,128,0.028207193863408513,64,1,2,max
73,73_0,COMPLETED,BoTorch,4.509901991827064,0.3384094834327698,0.33683666586875916,1.0,1.0,0.9966158866882324,0.9593908190727234,1.0,0.6226733922958374,0.905245304107666,0.9475464820861816,0.9441624283790588,0.26123215556144713,128,0.028244582815284122,64,1,2,max
58,58_0,COMPLETED,BoTorch,4.587596484494862,0.5499153733253479,0.5277044773101807,1.0,1.0,1.0,0.9695430994033813,1.0,0.4720812141895294,0.8967850804328918,0.9543147087097168,0.9475464820861816,0.11828894317150115,128,0.014344876955200526,64,1,2,max
16,16_0,COMPLETED,BoTorch,4.614087328637834,0.5346869826316833,0.5087987780570984,1.0,1.0,1.0,0.9712351560592651,1.0,0.615905225276947,0.913705587387085,0.846023678779602,0.9492385387420654,0.1685840129852295,128,0.012949634472256579,64,1,2,max
53,53_0,COMPLETED,BoTorch,4.618145939940587,0.5600676536560059,0.5429285764694214,1.0,1.0,0.9983079433441162,0.9593908190727234,1.0,0.5532994866371155,0.8950930237770081,0.9018612504005432,0.942470371723175,0.12746316939592361,128,0.014916903171045449,64,1,2,max
11,11_0,COMPLETED,BoTorch,4.632038572523743,0.5516074299812317,0.5415826439857483,1.0,1.0,1.0,0.9712351560592651,1.0,0.5313028693199158,0.905245304107666,0.9238578677177429,0.9543147087097168,0.19215874671936034,128,0.010745149611706339,32,1,2,max
79,79_0,COMPLETED,BoTorch,4.685229757730849,0.4551607370376587,0.45781323313713074,1.0,1.0,1.0,0.9661590456962585,1.0,0.5617597103118896,0.9221658110618591,0.9306260347366333,0.9340101480484009,0.3017080545425415,128,0.026827363539145277,64,1,2,max
10,10_0,COMPLETED,BoTorch,4.709034515009262,0.4974619150161743,0.48273777961730957,1.0,1.0,1.0,0.9695430994033813,1.0,0.5651438236236572,0.9069373607635498,0.9018612504005432,0.9441624283790588,0.10523555427789688,128,0.009378333612352095,64,1,2,max
71,71_0,COMPLETED,BoTorch,4.714468622859568,0.336717426776886,0.2932423949241638,1.0,1.0,1.0,0.9661590456962585,1.0,0.5719119906425476,0.9018612504005432,0.9340101480484009,0.9357022047042847,0.17556308805942536,128,0.025179112009181853,64,1,2,max
17,17_0,COMPLETED,BoTorch,4.771595318126492,0.4974619150161743,0.46234431862831116,1.0,1.0,1.0,0.9509305953979492,1.0,0.5499153733253479,0.9086294174194336,0.9001691937446594,0.942470371723175,0.13003913462162017,128,0.013102686578381558,64,1,2,max
89,89_0,COMPLETED,BoTorch,4.821552382397931,0.48730963468551636,0.47391462326049805,1.0,1.0,1.0,0.9560067653656006,1.0,0.626057505607605,0.9069373607635498,0.8917089700698853,0.9373942017555237,0.4917411804199219,128,0.02537916921387856,64,1,2,max
26,26_0,COMPLETED,BoTorch,4.841404017980676,0.5465313196182251,0.531140148639679,1.0,1.0,1.0,0.9712351560592651,1.0,0.5211505889892578,0.913705587387085,0.8578680157661438,0.9407783150672913,0.17433730661869049,128,0.01194508303062365,64,1,2,max
33,33_0,COMPLETED,BoTorch,4.843263556377496,0.43993231654167175,0.41896316409111023,1.0,1.0,1.0,0.9678511023521423,1.0,0.6243654489517212,0.8967850804328918,0.9018612504005432,0.9306260347366333,0.1542849838733673,128,0.021010077378296323,64,1,2,max
24,24_0,COMPLETED,BoTorch,4.941444708826021,0.5262266993522644,0.5074663162231445,1.0,1.0,1.0,0.9678511023521423,1.0,0.5752961039543152,0.9221658110618591,0.8409475088119507,0.9441624283790588,0.13425957411527634,128,0.012369583857192872,64,1,2,max
38,38_0,COMPLETED,BoTorch,4.993172603752464,0.49069371819496155,0.47018924355506897,1.0,1.0,0.9983079433441162,0.9678511023521423,1.0,0.5363789796829224,0.9018612504005432,0.905245304107666,0.9390862584114075,0.18822712302207947,128,0.014161373095930957,64,1,2,max
57,57_0,COMPLETED,BoTorch,4.998546659154817,0.5363789796829224,0.5133026242256165,1.0,1.0,1.0,0.9729272127151489,1.0,0.5871404409408569,0.9001691937446594,0.8020304441452026,0.9407783150672913,0.15328854620456694,128,0.01403391063722801,64,1,2,max
28,28_0,COMPLETED,BoTorch,5.004811337217689,0.5228426456451416,0.49470099806785583,1.0,1.0,1.0,0.9695430994033813,1.0,0.5516074299812317,0.9120135307312012,0.8984771370887756,0.9492385387420654,0.2585854738950729,128,0.01574700287003812,64,1,2,max
64,64_0,COMPLETED,BoTorch,5.084458096930757,0.4517766535282135,0.4459298551082611,1.0,0.9847715497016907,1.0,0.9593908190727234,1.0,0.653130292892456,0.905245304107666,0.9323180913925171,0.9289339780807495,0.9332253456115722,128,0.1,32,1,2,max
