,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,MacroF1Act,time:timestamp_mae,lr,batch_size,heads,hid,layers,aggregation
81,81,81_0,COMPLETED,BoTorch,1.2878150304238642,0.6631141304969788,0.2531317472457886,0.040290301725749045,0.0012542372130208597,128,1,128,2,max
20,20,20_0,COMPLETED,BoTorch,1.292640971921144,0.6581751704216003,0.2504066824913025,0.0570486162699038,0.0020884665888300617,128,2,128,2,max
67,67,67_0,COMPLETED,BoTorch,1.2931823382274277,0.46035870909690857,0.24896050989627838,0.0398313170298934,0.0009768967878338853,128,1,128,2,max
97,97,97_0,COMPLETED,BoTorch,1.2938326370091207,0.373277872800827,0.21534277498722076,0.05580341659726635,0.001190659839988135,128,2,128,2,max
49,49,49_0,COMPLETED,BoTorch,1.2950187683586152,0.5578372478485107,0.23726454377174377,0.054725090582524574,0.0025900969231057434,256,2,128,2,max
18,18,18_0,COMPLETED,BoTorch,1.297703409867902,0.660254716873169,0.2709330916404724,0.09867309706826363,0.002343863625478577,128,2,128,2,max
89,89,89_0,COMPLETED,BoTorch,1.2979379727715445,0.2820379436016083,0.1741858273744583,0.054339209751736735,0.0015130221404794175,128,2,128,2,max
95,95,95_0,COMPLETED,BoTorch,1.2982251002423224,0.6202235221862793,0.3556269407272339,0.05911663006390295,0.0016882179383244716,128,2,128,2,max
43,43,43_0,COMPLETED,BoTorch,1.3017869387422838,0.6631141304969788,0.2680789828300476,0.07470210689690805,0.008474241066660358,128,1,128,2,max
87,87,87_0,COMPLETED,BoTorch,1.3021920542683332,0.597088634967804,0.24765318632125854,0.03630099451589969,0.0009147639820963477,128,1,128,2,max
14,14,14_0,COMPLETED,BoTorch,1.308097783235773,0.5326228141784668,0.24628499150276184,0.04708792858066097,0.002484623027326973,128,2,128,2,max
83,83,83_0,COMPLETED,BoTorch,1.308665182711857,0.5786327123641968,0.2664768397808075,0.03672104247755582,0.000943300741941738,128,1,128,2,max
64,64,64_0,COMPLETED,BoTorch,1.3098112611520676,0.574733555316925,0.2655782699584961,0.06323270619876924,0.003933433287821103,256,2,128,2,max
37,37,37_0,COMPLETED,BoTorch,1.315116228115174,0.6376397013664246,0.24711483716964722,0.08258038518890258,0.0022849767361819155,128,2,128,2,max
46,46,46_0,COMPLETED,BoTorch,1.3154271660793213,0.28957629203796387,0.1927570253610611,0.13961123867381003,0.013482470123352257,128,1,128,2,max
80,80,80_0,COMPLETED,BoTorch,1.3173042855435801,0.3501429557800293,0.21012891829013824,0.05575671623791418,0.001509901944476399,128,1,128,2,max
48,48,48_0,COMPLETED,BoTorch,1.3196167313764173,0.2752794325351715,0.17468270659446716,0.055115057816428524,0.001717792554426922,128,2,128,2,max
76,76,76_0,COMPLETED,BoTorch,1.3290506570089249,0.5131270885467529,0.2712342143058777,0.07237720369331298,0.0017287745034007232,128,1,128,2,max
